sales_person_id,revenue,profit,hours_purchased,date
SP001,15000,4500,180,2024-01-15
SP002,22000,6600,240,2024-01-16
SP003,18000,5400,210,2024-01-17
SP004,12000,3600,150,2024-01-18
SP005,25000,7500,280,2024-01-19
SP001,15000,4500,180,2024-01-15
SP002,22000,6600,240,2024-01-16
SP003,18000,5400,210,2024-01-17
SP004,12000,3600,150,2024-01-18
SP005,25000,7500,280,2024-01-19
SP006,19000,5700,195,2024-01-20
SP007,21000,6300,225,2024-01-21
SP008,17000,5100,168,2024-01-22
SP009,23000,6900,247,2024-01-23
SP010,16000,4800,165,2024-01-24
SP011,27000,8100,285,2024-01-25
SP012,14000,4200,142,2024-01-26
SP013,20000,6000,217,2024-01-27
SP014,18000,5400,187,2024-01-28
SP015,24000,7200,255,2024-01-29
SP016,13000,3900,135,2024-01-30
SP017,22000,6600,232,2024-01-31
SP018,19000,5700,202,2024-02-01
SP019,26000,7800,270,2024-02-02
SP020,15000,4500,157,2024-02-03
SP021,28000,8400,300,2024-02-04
SP022,17000,5100,172,2024-02-05
SP023,21000,6300,210,2024-02-06
SP024,23000,6900,240,2024-02-07
SP025,19000,5700,195,2024-02-08
SP026,25000,7500,262,2024-02-09
SP027,16000,4800,165,2024-02-10
SP028,22000,6600,225,2024-02-11
SP029,20000,6000,202,2024-02-12
SP030,27000,8100,277,2024-02-13
SP031,14000,4200,142,2024-02-14
SP032,18000,5400,180,2024-02-15
SP033,24000,7200,247,2024-02-16
SP034,19000,5700,187,2024-02-17
SP035,26000,7800,270,2024-02-18
SP036,17000,5100,172,2024-02-19
SP037,21000,6300,217,2024-02-20
SP038,23000,6900,232,2024-02-21
SP039,15000,4500,150,2024-02-22
SP040,28000,8400,292,2024-02-23
SP041,16000,4800,157,2024-02-24
SP042,22000,6600,225,2024-02-25
SP043,19000,5700,195,2024-02-26
SP044,25000,7500,255,2024-02-27
SP045,13000,3900,135,2024-02-28
SP046,20000,6000,210,2024-02-29
SP047,24000,7200,240,2024-03-01
SP048,17000,5100,168,2024-03-02
SP049,26000,7800,262,2024-03-03
SP050,18000,5400,187,2024-03-04